Day,Cash On Hand
1,3487400
2,3126680
3,2374990
4,947082
5,600688
6,561580
7,181081
8,247675
9,557090
10,381308
11,138392
12,955571
13,3102684
14,2850527
15,2900939
16,679098
17,493906
18,2462693
19,1212375
20,1587333
21,3702977
22,1730204
23,151782
24,408762
25,758190
26,2055638
27,351052
28,620251
29,1976120
30,2144976
31,1617857
32,111885
33,2163088
34,4775596
35,4925986
36,2744834
37,3790254
38,5342635
39,6248383
40,5330765
41,7013779
42,6646382
43,6534313
44,5870393
45,5340550
46,8598125
47,6737691
48,5991968
49,6911981
50,5819564
51,6286063
52,6800577
53,6831115
54,7148226
55,8100679
56,8756609
57,9630111
58,10649121
59,10523693
60,10601809
61,10372118
62,10395085
63,10522218
64,10327089
65,10140006
66,10318922
67,10563365
68,11315225
69,11754470
70,11622279
71,10203444
72,10294220
73,10362910
74,10387125
75,11122890
76,11173813
77,12440766
78,11853319
79,12996883
80,13066633
81,10386410
82,11840757
83,12979025
84,12923120
85,10223289
86,9927877
87,11569684
88,11218319
89,11101656
90,10551714